	stid	latitude	longitude	altitude	altitude_mod	altitude_diff
1005462	SW1	69.800944	-47.567889	1845.0	1790.8372	-54.162841796875
1017576	SW2	69.800944	-47.567889	1845.0	1790.8372	-54.162841796875
1029690	SW3	69.805861	-47.542417	1856.0	1803.5042	-52.495849609375
1041804	SW4	69.793222	-47.607806	1835.0	1790.8372	-44.162841796875
1053918	SWC	69.552457	-49.37591	1120.0	1108.7578	-11.2421875
1066032	SWC_O	69.59443	-49.282673	1158.5	1152.1311	-6.368896484375
1078146	Saddle	65.9999	-44.5026	2451.0	2454.1667	3.166748046875
1090260	Site J	66.864952	-46.265141	2060.0	2041.21	-18.7900390625
1102374	South Dome	63.1489	-44.8175	2878.0	2876.8845	-1.115478515625
1114488	Summit	72.5797	-38.5045	3254.0	3207.463	-46.537109375
1126602	Swiss Camp	69.5556	-49.3647	1138.0	1108.7578	-29.2421875
1138716	Swiss Camp 10m	69.5556	-49.3647	1138.0	1108.7578	-29.2421875
1150830	T1new	69.738017	-48.060967	1710.0	1653.032	-56.968017578125
1162944	T1old	69.738017	-48.060967	1710.0	1653.032	-56.968017578125
1175058	T2_08	69.756933	-47.880283	1750.0	1707.3501	-42.64990234375
1187172	T2_09	69.756933	-47.880283	1750.0	1707.3501	-42.64990234375
1199286	T3	69.7836	-47.670183	1819.0	1781.8757	-37.124267578125
1211400	T4	69.819983	-47.4505	1877.0	1839.9531	-37.046875
1223514	T5	69.848017	-47.273583	1932.0	1882.2632	-49.73681640625
1235628	TAS_A	65.774442	-38.890758	880.3	854.3745	-25.925488281249955
1247742	TAS_L	65.639177	-38.899164	229.8	282.0962	52.29619140624999
1259856	TAS_U	65.6978	-38.8668	570.0	485.6665	-84.33349609375
1271970	THU_L	76.399853	-68.26755	559.4	540.3191	-19.080908203124977
1284084	THU_L2	76.393024	-68.265203	569.6	540.3191	-29.280908203125023
1296198	THU_U2	76.390204	-68.110534	745.1	781.6604	36.56040039062498
1308312	TUN	78.019295	-33.961291	2077.0	2067.8572	-9.142822265625
1320426	Tunu-N	78.0188	-33.9668	2113.0	2067.8572	-45.142822265625
1332540	UPE_L	72.893385	-54.295807	198.0	150.91844	-47.08155822753906
1344654	UPE_U	72.885092	-53.61895	896.2	927.8323	31.632275390624955
1356768	WEG_B	71.141463	-51.222054	14.8	253.79979	238.99978942871093
1368882	WEG_L	71.204955	-51.098881	933.1	928.97437	-4.125634765625023
1380996	ZAK_A	74.647558	-21.652047	1484.8	1387.4763	-97.32368164062495
1393110	ZAK_L	74.709165	-30.219014	685.7	2616.8865	1931.186474609375
1405224	ZAK_Lv3	74.624112	-21.374358	627.0	844.2156	217.215576171875
1417338	ZAK_U	74.624099	-21.374481	630.4	844.2156	213.81557617187502
1429452	ZAK_Uv3	74.643273	-21.461341	861.3	988.3428	127.04277343750005
1441566	s10	67.0	-47.01666667	1850.0	1845.6423	-4.357666015625
1453680	s5	67.08333333	-50.1	500.0	447.06372	-52.936279296875
1465794	s6	67.06666667	-49.38333333	1000.0	1022.8308	22.830810546875
1477908	s9	67.05	-48.21666667	1500.0	1509.3699	9.369873046875
