stid,timestamp,lat,lon,alt
SW2,,69.800944,-47.567889,1845
SW3,,69.805861,-47.542417,1856
SW4,,69.793222,-47.607806,1835
T3,,69.7836,-47.670183,1819
T2_08,,69.756933,-47.880283,1750
T2_09,,69.756933,-47.880283,1750
T1new,,69.738017,-48.060967,1710
T1old,,69.738017,-48.060967,1710
GGU163,,69.72505,-48.1902,1660
H1,,69.739083,-48.2403,1680
G165,,69.719783,-48.2674,1644
H2,,69.706167,-48.344967,1555
H3,,69.687433,-48.499667,1540
H3.5,,69.673933,-48.591117,1497
H4,,69.660183,-48.68945,1401
H5,,69.64372,-48.81594,1333
s5,,67.08333333,-50.1,500
s6,,67.06666667,-49.38333333,1000
s9,,67.05,-48.21666667,1500
s10,,67,-47.01666667,1850
SE-Dome,26-05-2015,67.18,-36.37,3170
SIGMA-A,07-07-2012,78.05167,-67.62833,1490
SIGMA-D,21-05-2014,77.636,-59.12,2100
FA-13,,66.1812,-39.0435,1563
FA-15-1,,66.3622,-39.3119,1664
FA-15-2,,66.3548,-39.1788,1543
